ProjectNo,SFP_m3perTonWasteIn,CoDigested,Present_Other,Present_Manure,Present_FW,Present_IBW,Present_GW,Present_BW,Capacity_tpy,ActualInput_tpy,Digester_Box,Digester_PlugFlow,Digester_WetFerm,Digester_Other,Digester_SingleStage,Temp_Meso,Pre_Crushing,Pre_Screening,Pre_ManualSorting,Pre_MagneticSorting,Pre_SubstanceSeparation,Pre_SandRemoval,Pre_Slurrying,Pre_Other,Pre_TotalSteps,Pasteurization,Dewatering,MarketedCompost_tpy,MarketedLiqDig_tpy,ElCap_kW,Use_Heating,Use_Electricity,Use_MicroGasGrid,Use_GasFeedIn,Use_Other,State,Input_Other_Pct,Input_Manure_Pct,Input_FW_Pct,Input_IndustryBW_Pct,Input_GreenWaste_Pct,Input_BW_Pct,Capacity_tpd,ActualInput_tpd,Capacity_Pct,Year commissioned
1,2,2,0,0,0,0,1,1,18000,13531,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,18000,700,364,1,1,0,0,0,Bayern,0,0,0,0,62,38,49.32,37.07,0.75,2008
2,2,4,0,0,1,1,1,1,18000,17800,0,0,1,0,0,0,1,1,0,1,1,1,1,0,6,0,1,20500,0,536,1,1,0,0,0,Schleswig-Holstein,0,0,9,8,15,68,49.32,48.77,0.99,2004
3,3,1,0,0,1,0,0,0,85000,30000,0,0,1,0,0,1,1,0,1,0,1,1,1,0,5,1,1,400,37600,1323,1,0,0,1,0,Brandenburg,0,0,100,0,0,0,232.88,82.19,0.35,2002
4,4,2,0,0,1,1,0,0,50000,35000,0,0,1,0,1,1,1,1,0,1,1,0,1,0,5,1,1,0,0,0,0,0,0,1,0,Bayern,0,0,70,30,0,0,136.99,95.89,0.7,2000
5,4,3,0,0,0,1,1,1,20000,14500,0,1,0,0,1,0,1,1,0,1,1,0,0,0,4,0,1,1200,12000,875,1,1,0,0,0,Baden-Württemberg,0,0,0,14,15,71,54.79,39.73,0.73,2008
6,2,1,0,0,0,0,0,1,15000,13200,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,1,1,0,0,0,Bayern,0,0,0,0,0,100,41.1,36.16,0.88,2011
7,3,2,0,0,0,0,1,1,55000,,0,1,0,0,1,0,1,1,0,1,1,0,1,0,5,0,1,20000,0,0,0,0,0,1,0,Bayern,0,0,0,0,16,84,150.68,,,2013
8,3,3,1,0,0,0,1,1,41000,36320,0,1,0,0,1,0,1,1,0,1,1,0,0,0,4,0,1,5545,25238,1600,1,1,0,0,0,Baden-Württemberg,1,0,0,0,12,87,112.33,99.51,0.89,2011
9,2,4,1,0,1,0,1,1,6500,6500,0,0,1,0,0,1,1,0,0,0,1,1,1,0,4,1,1,0,0,0,1,1,0,0,0,Baden-Württemberg,88,0,2,0,6,4,17.81,17.81,1,1993
10,4,3,1,0,1,1,0,0,51944,33202,0,0,1,0,0,1,1,1,1,1,0,1,1,1,7,1,1,0,21600,4172,1,1,0,0,0,Thüringen,13,0,62,25,0,0,142.31,90.96,0.64,2010
11,4,2,0,0,1,1,0,0,7500,5000,0,1,0,0,1,0,1,1,0,0,1,0,1,0,4,1,0,0,0,400,1,1,0,0,0,Baden-Württemberg,0,0,50,50,0,0,20.55,13.7,0.67,1994
12,4,2,0,0,1,1,0,0,36300,33000,0,0,1,0,0,1,1,1,0,0,1,0,1,0,4,1,1,0,0,2128,1,1,0,0,0,Niedersachsen,0,0,42,58,0,0,99.45,90.41,0.91,2006
13,1,3,1,0,0,0,1,1,18150,17930,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,21000,0,625,1,1,0,0,0,Niedersachsen,4,0,0,0,3,93,49.73,49.12,0.99,2009
14,1,2,0,0,0,0,1,1,25000,18000,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,10000,6000,1600,1,1,0,0,0,Bayern,0,0,0,0,5,95,68.49,49.32,0.72,2007
15,3,1,0,0,0,0,0,1,60000,,0,1,0,0,1,0,1,1,0,1,1,0,0,0,4,0,1,13400,32300,0,0,0,0,1,0,Berlin,0,0,0,0,0,100,164.38,,,2013
16,4,3,1,0,1,1,0,0,6000,4800,0,0,1,0,0,1,1,0,0,0,1,1,1,0,4,1,0,0,0,330,1,1,0,0,0,Bayern,3,0,90,7,0,0,16.44,13.15,0.8,2000
17,2,3,0,0,1,1,0,1,51000,32509,0,0,1,0,1,1,0,1,0,1,1,1,1,0,5,1,1,9288,0,986,1,1,0,0,0,Rheinland-Pfalz,0,0,7,2,0,91,139.73,89.07,0.64,1999
18,2,2,0,0,0,0,1,1,30000,30000,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,16000,0,1150,1,1,0,0,0,Schleswig-Holstein,0,0,0,0,5,95,82.19,82.19,1,2008
19,2,2,0,0,0,0,1,1,15000,10800,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,440,1,1,0,0,0,Niedersachsen,0,0,0,0,14,86,41.1,29.59,0.72,2011
20,3,2,0,0,0,1,0,1,20000,16450,0,1,0,0,1,0,1,1,1,1,0,0,1,0,5,0,1,13000,0,0,0,0,0,0,1,Niedersachsen,0,0,0,3,0,97,54.79,45.07,0.82,1997
21,1,3,1,0,1,1,0,0,70055,17500,0,0,1,0,1,1,1,0,0,0,0,0,0,1,2,1,1,875,13000,1480,1,0,0,0,1,Hessen,5,0,60,35,0,0,191.93,47.95,0.25,2006
22,1,1,0,0,0,0,1,0,13000,11000,0,1,0,0,1,0,1,1,0,1,0,0,1,0,4,0,1,4500,8000,300,1,1,0,0,0,Bayern,0,0,0,0,100,0,35.62,30.14,0.85,1995
23,3,,0,0,0,0,0,0,40000,,0,1,0,0,1,0,1,1,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,Nordrhein-Westfalen,,,,,,,109.59,,,2013
24,3,2,1,0,0,0,0,1,25000,25000,0,0,1,0,1,1,1,1,0,1,1,1,1,0,6,1,1,8000,500,1030,1,1,0,0,0,Baden-Württemberg,4,0,0,0,0,96,68.49,68.49,1,2005
25,,,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,1,0,1,0,0,Mecklenburg-Vorpommern,,,,,,,,,,2002
26,2,1,0,0,0,0,0,1,10000,7265,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,4200,0,191,1,1,0,0,0,Bayern,0,0,0,0,0,100,27.4,19.9,0.73,2006
27,1,2,0,0,0,0,1,1,16100,,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,260,1,1,0,0,0,Niedersachsen,0,0,0,0,60,40,44.11,,,2013
28,2,2,1,0,0,0,1,0,31000,10000,1,0,0,0,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,265,1,1,0,0,0,Bayern,60,0,0,0,40,0,84.93,27.4,0.32,2011
29,3,1,0,0,0,0,0,1,40000,29431,0,1,0,0,1,0,1,1,0,1,0,0,1,0,4,0,1,15986,11379,921,1,1,0,0,0,Bayern,0,0,0,0,0,100,109.59,80.63,0.74,1997
30,4,2,0,0,1,1,0,0,18000,18000,0,0,1,0,0,1,1,0,1,0,1,1,1,0,5,1,0,0,18000,890,1,1,0,0,0,Baden-Württemberg,0,0,70,30,0,0,49.32,49.32,1,2008
31,3,2,0,0,0,0,1,1,18000,17000,0,1,0,0,1,0,1,1,1,1,1,0,1,0,6,0,0,30000,0,680,1,1,0,0,0,Nordrhein-Westfalen,0,0,0,0,20,80,49.32,46.58,0.94,2011
32,1,4,1,0,0,1,1,1,23500,20759,1,0,0,0,1,1,0,0,1,0,0,0,1,0,2,0,0,8000,0,660,1,1,0,0,0,Thüringen,5,0,0,1,4,90,64.38,56.87,0.88,2009
33,4,3,0,0,1,1,0,1,18000,17160,0,0,1,0,0,1,1,0,0,0,1,1,0,0,3,1,1,0,0,1065,1,1,0,0,0,Bayern,0,0,25,50,0,25,49.32,47.01,0.95,1998
34,2,,0,0,0,0,0,0,48000,,1,0,0,0,1,0,1,1,0,1,0,0,0,0,3,0,0,0,0,1200,1,1,0,0,0,Rheinland-Pfalz,,,,,,,131.51,,,2012
35,,2,0,0,0,0,1,1,25915,,0,1,0,0,1,0,1,1,1,1,0,0,0,0,4,0,1,0,0,800,1,1,0,0,0,Bayern,0,0,0,0,29,71,71,,,2014
36,3,2,1,0,0,0,0,1,55000,38700,0,1,0,0,1,0,1,1,0,1,1,0,1,1,6,0,1,23000,13000,5300,1,1,0,0,0,Hessen,2,0,0,0,0,98,150.68,106.03,0.7,2008
37,3,2,0,0,0,0,1,1,22875,22943,0,1,0,0,1,0,1,1,0,1,1,0,1,0,5,0,1,7394,0,738,1,1,0,0,0,Rheinland-Pfalz,0,0,0,0,25,75,62.67,62.86,1,1999
